motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;direccion_notificacion;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;105;9/07/2020;29/07/2020;1,58E+11;URBANA;VALDES TAVERA;CALLE 11 N 28/01;2;1;1;1;6;1;1;6;2;2;1;1;14,5;1;2;1;1;17;1;2;1;2;1;0;22;65,5
SEGUIMIENTO;106;11/07/2020;29/07/2020;1,58E+12;URBANA;EL CORTES;CARRERA 4 N 4 43;2;1;1;2;8;1;2;9,5;2;2;1;2;16,5;1;2;1;2;19;2;2;2;2;1;0;27,5;80,5
PROGRAMACION;107;7/07/2020;29/07/2020;1,58E+12;URBANA;EL CORTES;CARRERA 4 N 4 43;2;1;1;1;6;1;2;9,5;2;0;1;2;14,5;1;2;1;1;17;1;2;1;2;1;0;13;60
PROGRAMACION;108;7/07/2020;29/07/2020;1,58E+11;URBANA;EL CORTES;CALLE 8 N 4/14;1;1;1;1;5;1;2;9,5;2;0;1;1;12,5;1;2;1;1;17;1;2;2;2;1;0;24;68
PROGRAMACION;109;17/07/2020;30/07/2020;1,58E+12;URBANA;SANTA INES;CALLE 9 N 19/70;2;1;1;1;6;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;1;2;1;2;1;0;22;71
PROGRAMACION;110;17/07/2020;30/07/2020;1,58E+14;URBANA;LA PRADERA;CARRERA 11 N 38 96;1;1;1;1;5;1;2;9,5;2;2;2;2;20;2;2;1;2;21,5;1;2;1;2;2;2;27,5;83,5
PROGRAMACION;111;17/07/2020;30/07/2020;1,58E+14;URBANA;OLAYA HERRERA;CARRERA 11 N 8/78;1;1;2;2;8;1;2;9,5;2;2;2;2;20;1;2;1;2;19;1;2;1;2;2;0;25,5;82
PROGRAMACION;112;15/07/2020;30/07/2020;1,58E+12;URBANA;MAGDALENA;CARRERA 26 N 5 B 05;1;1;1;1;5;1;2;9,5;2;0;1;0;10,5;2;2;2;1;23;1;1;1;2;1;1;21;69
PROGRAMACION;113;13/07/2020;30/07/2020;1,58E+12;URBANA;OLAYA HERRERA;CALLE 4 N 10/08;1;1;1;1;5;1;1;6;2;0;2;0;14;1;2;1;1;17;1;1;1;2;1;1;21;63
PROGRAMACION;114;3/07/2020;30/07/2020;1,58E+12;URBANA;OLAYA HERRERA;AV EL SOL N 10 159;1;1;1;1;5;1;2;9,5;2;0;1;0;10,5;1;2;1;1;17;1;2;2;2;1;0;24;66
PROGRAMACION;115;17/07/2020;30/07/2020;1,58E+12;URBANA;JARDIN;CARRERA 26 N 11 B 31;2;1;1;1;6;1;1;6;2;0;1;0;10,5;1;2;1;2;19;1;2;2;2;1;0;24;65,5
PROGRAMACION;116;17/07/2020;30/07/2020;1,58E+12;URBANA;JARDIN;CARRERA 26 N 11 33;2;1;1;2;8;1;2;9,5;2;2;2;2;20;2;2;1;2;21,5;1;2;2;2;1;1;25;84
PROGRAMACION;117;14/07/2020;30/07/2020;NO PRESENTA;URBANA;LIBERTADOR;CALLE 14 N 26/48;1;1;1;2;7;1;2;9,5;2;2;1;1;14,5;1;2;1;1;17;2;2;1;2;1;0;25,5;73,5
PROGRAMACION;118;14/07/2020;30/07/2020;1,58E+14;URBANA;LIBERTADOR;CALLE 14 N 26 62;1;1;1;1;5;1;1;6;2;0;1;0;10,5;1;2;1;1;17;1;2;2;2;1;0;24;62,5
PROGRAMACION;119;21/07/2020;5/08/2020;1,58E+12;URBANA;SUGAMUXI;CARRERA 5 N 5 A 13;2;1;1;1;6;1;1;6;1;1;1;1;10;1;2;1;1;17;2;2;2;2;1;0;27,5;66,5
PROGRAMACION;120;21/07/2020;5/08/2020;1,58E+14;URBANA;VALDES TAVERA;CARRERA 26 N 7 23;2;1;2;1;7;1;2;9,5;2;0;1;0;10,5;1;2;1;1;17;1;2;1;2;1;0;22;66
PROGRAMACION;121;23/07/2020;5/08/2020;1,58E+12;URBANA;URIBE URIBE;CALLE 11 N 25 92;2;1;1;1;6;1;1;6;2;0;1;0;10,5;1;2;1;2;19;1;1;2;2;1;0;22;63,5
PROGRAMACION;122;23/07/2020;5/08/2020;1575946378947/1;URBANA;JARDIN;CALLE 13 N 24 17;1;1;1;1;5;1;1;6;2;0;1;0;10,5;1;2;2;1;20,5;1;2;1;2;1;0;22;64
PROGRAMACION;123;23/07/2020;5/08/2020;1,58E+14;URBANA;LA SIERRA;CARRERA 8 CALLE 4 ESQUINA;2;1;1;1;6;1;1;6;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;0;22;64,5
PROGRAMACION;124;28/07/2020;5/08/2020;1,58E+11;URBANA;CIUDAD VERDE;CALLE 54 N 11 C 44;1;1;1;1;5;1;1;6;1;1;1;1;10;1;2;1;1;17;1;2;1;2;1;0;22;60
PROGRAMACION;125;29/07/2020;5/08/2020;1,58E+12;URBANA;LA PRADERA;CALLE 38 N 10 B 09;2;1;1;1;6;1;1;6;1;2;1;2;13;1;2;1;1;17;1;2;1;0;1;0;13;55
PROGRAMACION;126;30/07/2020;10/08/2020;NO PRESENTA;URBANA;SUCRE;CARRERA 12 C BIS N 46 C 09;1;1;1;1;5;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;1;2;0;0;18,5;53,5
PROGRAMACION;127;30/07/2020;10/08/2020;1,58E+15;URBANA;MONQUIRA;CALLE 1 A N 4 102;1;1;2;2;8;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;1;1;2;1;0;20;63,5
PROGRAMACION;128;31/07/2020;10/08/2020;1,58E+11;URBANA;LA PRADERA;CALLE 35 N 10 C 25;1;1;1;1;5;1;2;9,5;1;2;1;2;13;2;2;1;1;19,5;1;2;2;2;1;0;24;71
PROGRAMACION;129;31/07/2020;10/08/2020;1,58E+11;URBANA;LA PRADERA;CALLE 35 N 10 C 43;2;1;1;2;8;1;1;6;1;1;1;1;10;1;2;1;2;19;1;2;2;2;1;1;25;68
SEGUIMIENTO;130;31/07/2020;10/08/2020;1,58E+11;URBANA;SUCRE;CARRERA 12 C BIS N 46 C 09;1;1;1;1;5;1;2;9,5;1;2;1;2;13;1;2;1;1;17;1;2;1;2;2;0;25,5;70
PROGRAMACION;131;29/07/2020;10/08/2020;1,58E+12;URBANA;SANTA INES;CALLE 11 N 16 26;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;1;2;1;2;1;1;23;71
PROGRAMACION;132;30/07/2020;10/08/2020;1,58E+11;URBANA;VILLA DEL SOL;CALLE 2 D N 21 B 11;1;1;1;1;5;1;2;9,5;2;0;2;0;14;1;2;1;1;17;1;2;2;2;1;0;24;69,5
SEGUIMIENTO;133;30/07/2020;10/08/2020;1,58E+14;URBANA;UNIVERSITARIO;CALLE 1 N 17 07 SUR;1;1;1;2;7;1;2;9,5;2;2;1;1;14,5;1;2;1;1;17;1;2;2;2;1;0;24;72
PROGRAMACION;134;31/07/2020;10/08/2020;1,58E+12;URBANA;20 DE JULIO;CARRERA 20 N 11 A 31;1;1;1;1;5;1;2;9,5;2;2;2;2;20;1;2;1;1;17;1;2;1;2;2;0;25,5;77
PROGRAMACION;135;31/07/2020;10/08/2020;1,58E+12;URBANA;SANTA INES;CARRERA 18 N 9 32;1;1;1;1;5;1;2;9,5;2;2;1;0;12,5;1;2;1;1;17;1;2;1;2;1;0;22;66
PROGRAMACION;136;31/07/2020;8/08/2020;1,58E+14;URBANA;CATALU˝A;CARRERA 10 N 2 07;1;1;1;2;7;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;1;2;1;2;1;0;22;72
PROGRAMACION;137;31/07/2020;5/08/2020;1,58E+12;URBANA;UNIVERSITARIO;CALLE 1 N 18 06;1;2;0;2;8;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;2;0;25,5;67
PROGRAMACION;138;6/08/2020;25/08/2020;1,58E+12;URBANA;LA CASTELLANA;CARRERA 14 N 9 A 36 LOCAL 9;1;2;0;2;9;1;2;9,5;1;0;2;0;10,5;1;2;2;1;20,5;1;2;1;2;2;0;25,5;75
PROGRAMACION;139;5/08/2020;25/08/2020;1,58E+12;URBANA;EL PROGRESO;CALLE 30 B N 9 BIS 02;1;1;1;1;2;2;2;12;1;0;1;1;9;1;2;2;1;20,5;1;2;1;2;1;0;22;68,5
PROGRAMACION;140;5/08/2020;25/08/2020;1,58E+12;URBANA;PINARES DE SAN LUIS;CARRERA 10 A N 42 A 19;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
PROGRAMACION;141;14/08/2020;30/08/2020;1,58E+11;URBANA;LOS ALISOS;CARRERA 11 N 20 66;2;1;1;1;6;1;1;6;1;0;1;2;11;1;2;1;2;19;1;2;2;2;1;0;24;66
PROGRAMACION;142;14/08/2020;30/08/2020;1,58E+12;URBANA;LOS ALISOS;CARRERA 10 N 17 07;2;1;1;1;7;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;61
PROGRAMACION;143;13/08/2020;30/08/2020;1,58E+11;URBANA;SAN ANTONIO;CARRERA 21 N 25 66;1;1;1;1;5;1;1;6;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;0;24;61
PROGRAMACION;144;13/08/2020;30/08/2020;1,58E+12;URBANA;LA ESMERALDA;CARRERA 21 N 24 142;2;1;1;1;6;2;1;8,5;1;2;1;1;11;1;2;1;1;17;1;2;1;2;1;0;22;64,5
PROGRAMACION;145;12/08/2020;30/08/2020;1,58E+12;URBANA;CATALU˝A;CARRERA 8 N 2 08;1;1;1;1;5;1;1;6;1;2;1;2;13;1;2;1;2;19;1;2;2;2;1;1;25;68
PROGRAMACION;146;12/08/2020;30/08/2020;1,58E+12;URBANA;SAN JOSE;CARRERA 11 N 25 03 SUR;2;2;0;2;10;1;1;6;1;2;1;2;13;2;2;1;2;21,5;1;2;1;2;1;2;24;74,5
PROGRAMACION;147;11/08/2020;30/08/2020;1,58E+12;URBANA;MANANTIAL;CALLE 4 SUR N 13 93;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;61,5
PROGRAMACION;148;20/08/2020;30/08/2020;1,58E+12;URBANA;MONQUIRA;TRANSVERSAL 1 SUR N 4 22;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;61,5
PROGRAMACION;149;20/08/2020;30/08/2020;1,58E+12;URBANA;LAGUITO;CARRERA 11 A N 21 63;2;1;1;1;6;1;1;6;1;1;1;0;8;1;2;1;1;17;1;2;2;2;1;0;24;61
PROGRAMACION;150;20/08/2020;30/08/2020;1,58E+14;URBANA;SAN MARTIN CENTRO;CARRERA 12 N 18 A 22;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;62,5
PROGRAMACION;151;20/08/2020;30/08/2020;1,58E+12;URBANA;PRADO CENTRO;AV SAN MARTIN N 19 A 18;1;1;1;1;5;1;1;6;1;2;1;2;13;1;2;1;1;17;1;2;2;2;1;0;24;65
PROGRAMACION;152;18/08/2020;30/08/2020;1,58E+12;URBANA;CATALU˝A;CARRERA 8 N 2 B 83;2;1;1;1;6;2;1;8,5;1;1;2;1;13,5;1;2;1;2;19;1;2;2;2;1;0;24;71
PROGRAMACION;153;18/08/2020;30/08/2020;1,58E+14;URBANA;SUGAMUXI;TRANSVERSAL 7 N 5 D 86;1;1;1;2;7;1;1;6;1;1;2;1;13,5;1;2;1;1;17;1;2;2;2;1;0;24;67,5
SEGUIMIENTO;154;6/08/2020;30/08/2020;1,58E+12;URBANA;LA PRADERA;CALLE 38 N 10 B 09;2;2;0;2;10;2;2;12;1;2;1;2;13;2;2;2;2;25;2;2;2;2;2;0;31;91
PROGRAMACION;155;25/08/2020;10/09/2020;1,58E+11;URBANA;OLAYA HERRERA;CARRERA 12 N 6 ESQUINA;1;1;1;1;6;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;1;2;1;2;1;0;22;71
PROGRAMACION;156;24/08/2020;15/09/2020;1,58E+11;URBANA;SAN ANDRESITO;CALLE 2 N 20 61;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;1;2;1;2;19;1;2;2;2;1;0;24;74
PROGRAMACION;157;20/08/2020;15/09/2020;1,58E+12;URBANA;LOS ALISOS;CARRERA 11 N 19 A 20;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;1;2;0;0;11,5;1;2;1;2;1;0;22;64,5
PROGRAMACION;158;20/08/2020;15/09/2020;1,58E+12;URBANA;CENTRO;CARRERA 14 N 11 A 02;1;2;0;1;6;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;61,5
PROGRAMACION;159;21/08/2020;15/09/2020;1,58E+11;URBANA;EL BOSQUE;CARRERA 14 N 1 08;1;1;1;1;5;1;2;9,5;1;0;1;1;9;1;2;1;1;17;1;2;1;2;1;0;22;62,5
PROGRAMACION;160;21/08/2020;15/09/2020;1,58E+12;URBANA;EL BOSQUE;CALLE 1 N 15 72;1;1;1;2;7;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;2;0;25,5;66
SEGUIMIENTO;161;24/08/2020;15/09/2020;1,58E+14;URBANA;SAN ANDRESITO;CARRERA 26 N 2 A 65;1;1;1;2;7;1;2;9,5;1;0;2;2;14,5;1;2;1;1;17;1;2;1;2;1;0;23;71
PROGRAMACION;162;27/08/2020;15/09/2020;1,58E+12;URBANA;SUGAMUXI;TRANSVERSAL 7 N 5 D-55;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;2;0;25,5;69
PROGRAMACION;163;26/08/2020;15/09/2020;1,58E+12;URBANA;COLOMBIA;CALLE 13 N 22 05;1;1;1;1;5;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;13;50,5
PROGRAMACION;164;9/09/2020;5/10/2020;1,58E+12;URBANA;SANTA  CATALINA;CARRERA 14 N 3/19 ;1;1;1;2;7;1;2;9,5;2;1;1;2;15,5;1;2;1;1;17;2;2;1;2;2;0;29;78
PROGRAMACION;165;9/09/2020;5/10/2020;1,58E+11;URBANA;VENECIA;CARRERA 11 N 28/27;1;1;1;1;5;1;2;9,5;1;0;1;1;9;1;2;1;1;17;1;2;1;2;1;0;22;62,5
PROGRAMACION;166;2/09/2020;5/10/2020;1,58E+14;URBANA;BENJAMIN HERRERA ;CARRERA 16 TRANS 17/42;2;1;1;2;6;1;2;9,5;2;2;1;1;14,5;2;2;2;1;23;1;2;1;2;1;1;23;76
PROGRAMACION;167;8/08/2020;6/10/2020;1,58E+12;URBANA;SUGAMUXI;CALE 7 N 6/07;2;1;1;2;6;1;2;9,5;2;2;1;2;16,5;2;2;1;1;19,5;1;2;1;2;1;1;23;74,5
PROGRAMACION;168;8/08/2020;6/10/2020;1,58E+12;URBANA;SUGAMUXI;CALLE 7 N 5/102;1;1;1;1;5;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;0;22;76
PROGRAMACION;169;27/08/2020;7/10/2020;1,58E+12;URBANA;LA FLORIDA;TRANSVERSAL 4 N 5/125;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;2;0;27,5;67
PROGRAMACION;170;15/09/2020;9/09/2020;1,58E+11;URBANA;EL RECREO;CARRERA 11 N 28/33;1;1;1;2;7;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;2;0;25,5;66
SEGUIMIENTO;171;3/09/2020;9/09/2020;1,58E+12;URBANA;SIMON BOLIVAR;CARRERA 20 N 4/06;1;1;1;2;7;1;2;9,5;2;2;2;2;20;1;2;1;1;17;1;2;1;2;2;2;26,5;80
PROGRAMACION;172;18/09/2020;27/10/2020;1,58E+12;URBANA;VALDES TAVERA;CARRERA 27 N 7 A/08;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;2;1;11,5;1;2;1;2;1;0;22;52,5
PROGRAMACION;173;17/09/2020;27/10/2020;1,58E+12;URBANA;VALDES TAVERA;CARRERA 26 N 7B/32;1;1;1;2;7;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;64,5
PROGRAMACION;174;17/09/2020;27/10/2020;1,58E+12;URBANA;VALDES TAVERA;CARRERA 27 N 8/36;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60,5
SEGUIMIENTO;175;28/08/2020;28/10/2020;1575946385646/7;URBANA;PUENTE PESCA;CALLE 9 N 10/82;1;1;1;1;5;1;2;9,5;2;2;2;2;20;1;2;1;1;17;1;2;2;0;1;1;16;67,5
SEGUIMIENTO;176;5/10/2020;9/11/2020;1,58E+12;URBANA;VALDES TAVERA;CARRERA 27 N 7A/08;2;1;1;2;8;2;2;12;2;2;2;2;20;2;2;2;2;25;1;2;1;2;2;0;25,5;90,5
PROGRAMACION;177;23/10/2020;9/11/2020;1,58E+12;URBANA;DIVINO NI˝O;DIAGONAL 16 N 19/06;1;1;1;2;7;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;64,5
PROGRAMACION;178;13/10/2020;14/11/2020;1,58E+14;URBANA;PARQUE INDUSTRIAL;CARRERA 11 N 50A/24;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60,5
PROGRAMACION;179;9/10/2020;14/11/2020;1,58E+14;URBANA;LOS ALISOS;CARRERA 9 N 16/26;1;1;1;2;7;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;2;1;26,5;73,5
PROGRAMACION;180;8/10/2020;14/11/2020;1,58E+12;URBANA;VALDES TAVERA;CALLE 9 N 24/06;1;1;1;2;7;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;62,5
PROGRAMACION;181;13/10/2020;14/11/2020;1,58E+12;URBANA;CERRITO;DIAGONAL 13 N 29/41;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60,5
PROGRAMACION;182;17/10/2020;14/11/2020;1,58E+11;URBANA;VILLA DEL LAGO;CARRERA 20 N 22B/54;2;1;1;1;7;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;67
PROGRAMACION;183;29/10/2020;17/11/2020;1,58E+14;URBANA;20 DE JULIO;CALLE 14 N 18/22;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
PROGRAMACION;184;20/10/2020;17/11/2020;1,58E+14;URBANA;LAS MARIAS;CALLE 46  N 12/138;1;1;1;1;5;1;1;6;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;0;24;61
PROGRAMACION;185;19/10/2020;17/11/2020;1,58E+14;URBANA;SAN MARTIN CENTRO;CARRERA 12 N 18/24;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;0;24;68
PROGRAMACION;186;19/10/2020;17/11/2020;1,58E+12;URBANA;SANTA ISABEL;CALLE 22 N 17/28;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60,5
PROGRAMACION;187;23/10/2020;18/11/2020;1,58E+12;URBANA;CENTRO;CALLE 15 N 13/20;1;2;0;1;7;1;2;9,5;1;1;1;1;10;1;2;1;1;17;1;2;1;2;1;0;22;65,5
PROGRAMACION;188;26/10/2020;19/11/2020;NO PRESENTA;URBANA;MAGDALENA;CARRERA 27 N 26/61;1;1;1;1;5;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;63
PROGRAMACION;189;26/10/2020;19/11/2020;1,58E+12;URBANA;LA ISLA;CARRERA 32 N 7/265 LC 1;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
SEGUIMIENTO;190;27/10/2020;21/11/2020;1,58E+12;URBANA;OLAYA HERRERA;CALE 4 N 10/08;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;1;2;2;1;20,5;1;1;2;2;1;1;23;74,5
PROGRAMACION;191;27/10/2020;21/11/2020;1,58E+12;URBANA;UNIVERSITARIO;CARRERA 14 N 1B/45 SUR;1;1;1;1;5;1;2;9,5;1;1;1;1;10;2;2;1;1;19,5;1;2;1;2;1;2;24;68
PROGRAMACION;192;29/10/2020;21/11/2020;1,58E+12;URBANA;LA FLORIDA;CARRERA 18 N 8/02;1;1;1;1;5;1;2;9,5;1;0;1;2;11;1;2;1;1;17;1;2;1;2;1;0;22;64,5
PROGRAMACION;193;28/10/2020;21/11/2020;1,58E+11;URBANA;OLAYA HERRERA;CARRERA 8 N 4A/13;1;1;1;1;5;1;2;9,5;1;0;1;1;9;1;2;1;1;17;1;2;1;2;2;0;25,5;66
PROGRAMACION;194;30/10/2020;21/11/2020;1,58E+12;URBANA;CENTRO;CALLE 11 N 16/45;1;1;1;1;5;2;2;12;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;2;0;25,5;70
PROGRAMACION;195;5/11/2020;1/12/2020;1,58E+12;URBANA;EL RECREO;CALLE 28 N 9A/48;2;1;1;1;6;1;2;9,5;2;2;1;2;16,5;1;2;2;2;22,5;1;2;2;2;2;1;28,5;83
PROGRAMACION;196;9/11/2020;1/12/2020;NO PRESENTA;URBANA;VANEGAS;VANEGAS;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;1;0;22;67,5
PROGRAMACION;197;20/11/2020;2/11/2020;1,58E+14;URBANA;MAGDALENA;NO PRESENTA;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60,5
SEGUIMIENTO;198;4/12/2020;15/12/2020;1,58E+12;URBANA;ALISOS;CARRERA 10 N 17/07;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
SEGUIMIENTO;199;3/12/2020;15/12/2020;1,58E+13;URBANA;LIBERTADOR;CALLE 14 N 26/62;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
PROGRAMACION;200;2/12/2020;15/12/2020;NO PRESENTA;URBANA;LA PRADERA;CARERRA 11 N 39/69;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;64
PROGRAMACION;201;3/12/2020;15/12/2020;1,58E+12;URBANA;COLOMBIA;CARRERA 22 N 11B/75;1;1;1;1;5;2;1;8,5;1;1;1;1;10;1;2;1;1;17;1;2;2;2;1;0;24;64,5
SEGUIMIENTO;202;10/12/2020;28/12/2020;1,58E+14;URBANA;SUGAMUXI;TRV 7 N 5 D 86;1;1;1;1;5;1;1;6;1;2;1;1;11;1;2;1;1;17;1;2;2;2;1;0;24;63
SEGUIMIENTO;203;10/12/2020;28/12/2020;1,58E+14;URBANA;SUGAMUXI;TRV 7 N 5 D 55;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;62,5
SEGUIMIENTO;204;10/12/2020;28/12/2020;1,58E+12;URBANA;SUGAMUXI;CARRERA 5 N 5 A 13;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;62,5
SEGUIMIENTO;205;9/12/2020;28/12/2020;1,58E+14;URBANA;LA SIERRA;CARRERA 8 CALLE 4 ESQUINA;2;1;1;1;6;1;1;6;1;0;1;1;9;1;2;2;1;20,5;1;2;1;2;1;0;22;63,5
SEGUIMIENTO;206;7/12/2020;28/12/2020;1,58E+12;URBANA;URIBE URIBE;CALLE 11 N 25 92;2;1;1;1;6;2;2;12;1;1;1;1;10;1;2;1;2;19;1;2;2;2;1;0;24;71
SEGUIMIENTO;207;7/12/2020;28/12/2020;1,58E+12;URBANA;JARDIN;CARRERA 26 N 11 B 31;2;1;1;1;6;1;1;6;1;1;1;1;10;1;2;1;2;19;1;2;2;2;1;0;24;65
SEGUIMIENTO;208;7/12/2020;28/12/2020;1,58E+12;URBANA;JARDIN;CALLE 13 N 24 17;1;1;1;1;5;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;2;0;27,5;62,5
SEGUIMIENTO;209;14/12/2020;28/12/2020;1,58E+11;URBANA;VENECIA;CARRERA 11 N 28 27;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;1;2;2;2;2;0;27,5;75,5
SEGUIMIENTO;210;4/12/2020;28/12/2020;1,58E+11;URBANA;MAGDALENA;CARRERA 26 N 6 A 40;1;1;1;2;7;1;2;9,5;2;2;1;2;16,5;1;2;0;1;13,5;2;2;2;2;1;0;27,5;74
SEGUIMIENTO;211;9/12/2020;28/12/2020;1,58E+11;URBANA;EL BOSQUE;CARRERA 14 N 1 08 LOCAL 01;0;1;1;1;5;1;2;9,5;1;0;1;0;7;0;2;1;1;5,5;1;2;1;2;1;0;22;49
SEGUIMIENTO;212;11/12/2020;28/12/2020;1,58E+14;URBANA;LAS MARIAS;CALLE 46  N 12/138;1;1;1;1;5;1;1;6;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;0;24;61
SEGUIMIENTO;213;10/12/2020;28/12/2020;1,58E+11;URBANA;EL BOSQUE;CARRERA 14 N 1 08 LOCAL 01;1;1;1;2;7;1;2;9,5;1;0;2;0;10,5;1;2;1;1;17;1;2;2;2;2;0;27,5;71,5
