motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;proce_req_legal;p_cumplimiento
ASOCIADA A PETICIONES QUEJAS Y RECLAMOS;1;26/02/2020;5/03/2020;1,57596E+11;URBANA;CENTRO;2;1;1;1;2;7;1;1;6;1;0;1;1;10;2;2;2;2;1;2;25;2;2;1;21;2;5;74
PROGRAMACION;2;2/04/2020;13/04/2020;NO PRESENTA;URBANA;CENTRO;2;1;1;1;1;6;1;1;6;2;0;2;0;13,5;2;1;1;2;1;1;20,5;1;2;2;21;2;5;72
PROGRAMACION;3;6/03/2020;13/04/2020;1,57599E+11;URBANA;EL CORTES;2;2;2;2;1;9;2;2;12;2;2;2;2;20;2;2;2;2;2;1;28;1;2;2;21;2;5;95
PROGRAMACION;4;26/03/2020;15/04/2020;1,57592E+12;URBANA;EL ORIENTE;2;2;2;2;1;10;2;1;9;2;2;2;2;20;2;2;1;2;2;0;23;2;2;2;25;2;5;92
PROGRAMACION;5;26/03/2020;16/04/2020;1,57591E+14;URBANA;EL SOL;2;2;2;2;2;10;2;2;12;2;0;1;0;9;2;2;2;2;1;0;21;1;2;1;21;2;5;78
PROGRAMACION;6;27/03/2020;20/04/2020;1,57591E+14;URBANA;SANTA CATALINA;2;2;2;2;2;10;2;2;12;2;0;0;0;6;1;2;2;2;1;0;18,5;2;2;2;25;2;5;76,5
PROGRAMACION;7;28/03/2020;21/04/2020;1,57595E+12;URBANA;LA CASTELLANA;2;2;2;1;1;7,5;2;1;9;2;0;2;0;12;1;1;1;2;0;1;15;2;2;2;25;2;5;73,5
PROGRAMACION;8;28/03/2020;21/04/2020;1,57593E+12;URBANA;SANTA CATALINA;2;2;1;1;2;7,75;2;1;9;2;2;1;1;14,5;1;2;2;2;1;0;18,5;1;2;2;21;2;5;75,7
PROGRAMACION;9;26/03/2020;24/04/2020;1,57595E+12;URBANA;ARRAYANES;2;2;2;1;1;7,5;2;2;12;2;2;2;1;17,5;2;2;2;2;2;0;24;2;2;2;25;2;5;91
PROGRAMACION;10;20/04/2020;12/05/2020;1,57595E+12;URBANA;UNIVERSITARIO;2;2;2;1;2;8,5;1;2;9;2;0;2;2;17;1;2;2;2;1;0;18,5;2;2;2;25;1;2,5;80,5
PROGRAMACION;11;22/04/2020;12/05/2020;1,57591E+14;URBANA;SUGAMUXI;2;2;2;1;1;7,5;2;1;9;2;0;2;1;16;2;2;1;2;1;0;19,75;2;2;2;25;2;5;82,25
PROGRAMACION;12;22/04/2020;12/05/2020;1,57591E+14;URBANA;CONDORITO;2;1;1;2;2;8,5;1;2;9;2;2;2;2;20;2;2;2;2;1;2;25;2;1;2;20,5;1;2,5;85,5
PROGRAMACION;13;24/04/2020;12/05/2020;1,57595E+12;URBANA;CENTRO;2;2;1;2;2;9,25;2;2;12;2;0;1;0;10,5;2;2;1;2;2;0;22,75;2;1;2;20,5;1;2,5;77,5
PROGRAMACION;14;27/04/2020;14/05/2020;1,57592E+12;URBANA;EL CORTEZ;2;1;2;1;2;7,75;2;2;12;2;0;1;0;9;1;2;1;2;1;0;17,25;2;2;1;21;2;5;72
PROGRAMACION;15;27/04/2020;14/05/2020;1,57591E+14;URBANA;EL CORTEZ;2;1;1;2;2;8,5;2;1;9;2;0;2;0;12;2;2;2;2;1;0;21;2;2;2;25;2;5;80,5
PROGRAMACION;16;28/04/2020;14/05/2020;1,57591E+14;URBANA;EL SOL;2;2;2;2;2;10;2;2;12;2;0;2;0;12;2;1;2;2;2;0;24;2;2;1;21;2;5;81,5
PROGRAMACION;17;28/04/2020;14/05/2020;1,57591E+14;URBANA;SUGAMUXI;2;1;2;2;2;9,25;2;2;12;2;0;2;0;12;2;2;2;2;1;0;21;2;2;1;21;1;2,5;77,75
PROGRAMACION;18;4/06/2020;16/06/2020;1,57597E+12;URBANA;SUGAMUXI;2;2;2;2;2;10;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;2;2;2;25;2;5;96
PROGRAMACION;19;4/06/2020;16/06/2020;1,57599E+14;URBANA;CHINCA;2;2;2;2;2;10;1;1;6;2;2;2;2;20;2;2;1;2;2;1;24,75;1;2;1;17;1;2,5;80,25
PROGRAMACION;20;6/06/2020;16/06/2020;1,57591E+14;URBANA;VALDEZ TAVERA;2;1;2;1;2;7,75;1;2;9;2;0;1;0;9;1;2;1;2;2;0;20,5;1;1;2;16,5;2;5;67,75
PROGRAMACION;21;21/05/2020;16/06/2020;1,57591E+14;URBANA;UNIVERSITARIO;2;2;1;1;2;7,75;2;2;12;2;0;1;2;15,5;2;2;1;2;1;1;21,75;2;2;2;25;2;5;87
PROGRAMACION;22;14/05/2020;16/06/2020;15759891965;URBANA;CENTRO;2;2;2;1;2;8,5;2;1;9;2;0;1;0;9;1;2;2;2;1;0;18,5;2;2;2;25;2;5;75
PROGRAMACION;23;13/05/2020;16/06/2020;1,57591E+15;URBANA;LAGUITO;2;2;2;1;2;8,5;2;2;12;2;2;2;2;20;2;2;1;2;1;1;21,75;2;2;2;25;2;5;92,25
PROGRAMACION;24;6/05/2020;1/06/2020;1,57591E+14;URBANA;MAGDALENA;2;2;2;1;2;8,5;2;1;9;1;0;2;1;11,5;1;2;2;2;1;1;20,5;2;2;2;25;2;5;79,5
PROGRAMACION;25;30/04/2020;1/06/2020;1,57595E+12;URBANA;LA CASTELLANA;2;2;2;1;1;7,5;2;0;6;2;0;2;0;12;1;1;1;2;0;1;15;2;2;2;17;2;5;62,5
SEGUIMIENTO;26;3/05/2020;1/06/2020;1,57595E+12;URBANA;LA CASTELLANA;2;1;1;2;2;8,5;2;2;12;2;2;1;2;17;1;2;2;2;2;2;25,5;2;2;2;25;2;5;93
PROGRAMACION;27;8/05/2020;1/06/2020;1,57593E+13;URBANA;EL OASIS;2;2;2;2;2;10;2;2;12;2;0;2;2;18,5;2;2;2;2;2;0;24;2;2;2;25;2;5;94,5
PROGRAMACION;28;16/04/2020;1/06/2020;NO PRESENTA;URBANA;CENTRO;2;2;1;2;2;9,25;2;2;12;2;2;1;2;17;1;2;1;0;1;1;19,25;2;2;2;25;2;5;87,5
PROGRAMACION;29;22/04/2020;1/06/2020;1,57597E+12;URBANA;CENTRO;2;2;1;1;2;7,75;1;2;9;2;2;1;2;17;2;2;2;2;2;1;26;1;2;2;21;2;5;85,75
PROGRAMACION;30;28/04/2020;1/06/2020;1,57595E+12;URBANA;SANTA INES;2;2;2;2;2;10;2;2;12;2;2;2;2;20;1;2;2;2;2;2;25,5;1;2;2;21;2;5;93,5
PROGRAMACION;31;30/04/2020;1/06/2020;NO PRESENTA;URBANA;SANTA CATALINA;2;1;2;1;2;7,75;2;2;12;1;0;2;0;9;1;2;1;2;1;0;17,25;1;2;2;21;2;5;72
PROGRAMACION;32;28/05/2020;25/06/2020;1,57591E+14;URBANA;EL ROSARIO;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;1;2;2;2;2;0;21,5;2;2;2;25;2;5;81
PROGRAMACION;33;27/05/2020;25/06/2020;NO PRESENTA;URBANA;LA SIERRA;2;2;2;2;2;10;2;2;12;1;0;2;1;13;2;2;2;2;1;1;23;2;2;2;25;2;5;88
PROGRAMACION;34;11/05/2020;20/06/2020;1,57594E+11;URBANA;MONQUIRA;2;2;1;2;2;9,25;2;2;12;2;0;2;1;16;2;2;1;2;2;0;22,75;2;2;1;21;1;2,5;83,5
PROGRAMACION;35;28/05/2020;20/06/2020;NO PRESENTA;URBANA;URIBE URIBE;2;2;1;1;2;7,75;2;1;9;2;0;1;0;9;1;2;1;2;1;0;17,25;1;1;2;16,5;2;5;64,5
PROGRAMACION;36;30/05/2020;22/06/2020;1,57596E+11;URBANA;PUENTE PESCA;2;1;1;2;2;8,5;2;2;12;2;2;2;2;20;2;2;1;2;1;2;23,75;2;2;1;21;2;5;90,25
PROGRAMACION;37;29/05/2020;23/06/2020;1,57595E+12;URBANA;SANTA CATALINA;2;2;2;2;2;10;2;2;12;1;0;2;0;9;2;2;1;2;2;1;24,75;2;2;2;25;2;5;85,75
SEGUIMIENTO;38;27/05/2020;28/06/2020;NO PRESENTA;URBANA;CENTRO;2;1;1;2;2;8,5;2;1;9;2;2;1;2;17;2;2;2;2;1;2;25;2;2;1;21;2;5;85,5
SEGUIMIENTO;39;28/05/2020;30/06/2020;1,57591E+14;URBANA;SANTA CATALINA;2;2;2;1;2;8,5;2;2;12;2;0;1;2;14;1;2;2;2;1;0;18,5;1;2;2;21;2;5;79
PROGRAMACION;40;28/05/2020;30/06/2020;1,57595E+12;URBANA;SANTA CATALINA;2;2;2;2;2;10;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;1;2;2;21;2;5;92
PROGRAMACION;41;28/05/2020;29/06/2020;1,57591E+14;URBANA;EL ROSARIO;2;2;2;1;2;8,5;2;2;12;1;0;1;0;6;1;2;1;2;2;0;20,25;2;2;2;25;2;5;76,75
PROGRAMACION;42;9/06/2020;29/06/2020;1,57592E+12;URBANA;CIUDAD VERDE;2;2;2;2;2;10;2;2;12;2;2;2;2;20;2;2;1;2;1;0;19,75;1;2;2;21;2;5;87,75
PROGRAMACION;43;3/06/2020;29/06/2020;1,57591E+13;URBANA;SUGAMUXI;2;1;1;1;2;7;1;2;9;2;0;1;0;9;1;2;2;2;1;0;18,5;1;2;2;22;2;5;70,5
PROGRAMACION;44;22/06/2020;13/07/2020;1,57591E+14;URBANA;SUGAMUXI;2;2;2;2;2;10;2;2;12;1;0;2;1;13;1;2;2;2;2;1;23,5;2;2;1;21;1;2,5;82
PROGRAMACION;45;26/06/2020;13/07/2020;1,57591E+15;URBANA;CHAPINERO;2;1;2;1;2;7,75;2;1;9;2;0;2;2;17;2;2;1;2;1;1;21,75;2;2;2;25;2;5;85,5
PROGRAMACION;46;24/06/2020;13/07/2020;1,57591E+14;URBANA;MONQUIRA;0;1;1;1;2;5;1;2;9;2;0;2;0;12;2;2;2;2;1;0;21;2;2;1;21;2;5;73
PROGRAMACION;47;17/07/2020;31/07/2020;1,57594E+12;URBANA;JARDIN;2;1;1;1;2;7;2;1;9;1;0;1;0;6;1;2;1;2;1;0;17,25;2;2;2;25;2;5;69,25
PROGRAMACION;48;15/07/2020;31/07/2020;1,57597E+12;URBANA;MAGDALENA;2;1;2;1;2;7,75;1;2;9;1;0;1;0;6;1;2;2;2;1;0;18,5;2;2;2;25;2;5;71,25
PROGRAMACION;49;9/07/2020;31/07/2020;1,57592E+12;URBANA;VALDEZ TAVERA;2;1;1;1;2;7;1;1;6;1;0;1;2;11;1;2;1;2;1;0;17,25;2;2;1;21;2;5;67,25
PROGRAMACION;50;8/07/2020;31/07/2020;1,57594E+12;URBANA;6 DE SEPTIEMBRE;2;2;2;2;2;10;1;2;9;2;2;2;2;20;2;2;2;2;2;0;24;2;2;2;25;2;5;93
PROGRAMACION;51;14/07/2020;10/08/2020;NO PRESENTA;URBANA;6 DE SEPTIEMBRE;2;2;2;1;2;8,5;2;2;12;1;0;1;0;6;2;2;1;2;1;0;19,75;1;2;2;21;1;2,5;69,75
PROGRAMACION;52;23/07/2020;10/08/2020;1,57595E+12;URBANA;MAGDALENA;2;2;2;1;2;8,5;2;1;9;1;0;2;1;11,5;1;2;2;2;2;0;21,5;2;2;2;25;2;5;80,5
PROGRAMACION;53;29/07/2020;10/08/2020;1,57591E+14;URBANA;MAGDALENA;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;1;1;1;2;1;0;16;1;1;2;16,5;2;5;67
PROGRAMACION;54;30/07/2020;10/08/2020;1,57591E+14;URBANA;SUCRE;2;2;1;1;2;7,75;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;85,75
PROGRAMACION;55;30/07/2020;10/08/2020;1,57591E+14;URBANA;MONQUIRA;2;2;1;1;2;7,75;2;2;12;2;0;1;0;9;2;2;1;2;2;0;22,75;2;2;2;25;2;5;81,5
PROGRAMACION;56;31/07/2020;10/08/2020;1,57592E+12;URBANA;LA PRADERA;2;1;1;2;2;8,5;2;1;9;2;2;1;2;17;1;2;1;2;2;0;20,25;1;2;2;21;2;5;80,75
PROGRAMACION;57;11/08/2020;20/08/2020;1,57595E+12;URBANA;UNIVERSITARIO;2;1;1;1;2;7;2;2;12;1;0;2;0;9;2;2;1;2;1;1;19,75;2;2;2;25;2;5;77,75
PROGRAMACION;58;11/08/2020;20/08/2020;1,57598E+12;URBANA;UNIVERSITARIO;2;1;1;1;2;7;1;2;9;1;0;1;0;6;2;2;2;2;1;0;21;2;2;2;25;2;5;73
PROGRAMACION;59;11/08/2020;20/08/2020;1,57595E+12;URBANA;UNIVERSITARIO;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;83,5
PROGRAMACION;60;13/08/2020;20/08/2020;1,57598E+12;URBANA;ASODEA;2;2;2;2;2;10;1;2;9;1;0;2;0;9;2;2;2;2;1;0;21;1;2;2;21;2;5;75
PROGRAMACION;61;14/08/2020;20/08/2020;1,576E+11;URBANA;SAN ANTONIO;2;1;1;2;2;8,5;2;2;12;1;0;2;0;9;2;2;2;2;2;0;24;1;2;2;21;2;5;79,5
PROGRAMACION;62;17/08/2020;28/08/2020;1,57591E+14;URBANA;LA PLAYITA;2;1;1;2;2;8,5;2;1;9;1;0;1;0;6;2;2;1;2;1;0;19,75;1;2;2;21;2;5;69,25
