motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;proce_req_legal;p_cumplimiento
PROGRAMACION;63;19/08/2020;28/08/2020;1,576E+11;URBANA;CENTRO;1;1;1;1;1;5;1;2;9;2;2;1;2;17;1;2;1;2;1;0;17,25;1;2;2;21;2;5;74,25
PROGRAMACION;64;8/08/2020;30/08/2020;NO PRESENTA;URBANA;CENTRO;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;1;2;1;2;1;0;17,25;2;2;2;25;2;5;76,75
PROGRAMACION;65;10/08/2020;30/08/2020;1,57591E+14;URBANA;LAGUITO;2;2;2;1;1;7,5;1;1;6;2;0;2;2;17;2;2;2;2;1;0;21;1;2;2;21;2;5;77,5
PROGRAMACION;66;12/08/2020;30/08/2020;1,57591E+14;URBANA;LA CANDELARIA;2;2;1;1;2;7,75;2;2;12;2;2;1;0;12;1;2;1;2;2;0;20,25;2;2;2;25;2;5;82
PROGRAMACION;67;13/08/2020;30/08/2020;1,57595E+12;URBANA;SAN ANTONIO;2;2;2;1;2;8,5;2;2;12;2;2;2;2;20;1;2;2;2;2;0;21,5;1;2;2;21;2;5;88
PROGRAMACION;68;14/08/2020;30/08/2020;1,57595E+12;URBANA;SAN ANTONIO;2;2;2;2;2;10;2;2;12;2;0;2;0;12;1;2;2;2;2;0;21,5;2;2;2;25;2;5;85,5
PROGRAMACION;69;8/08/2020;30/08/2020;1,57597E+12;URBANA;CENTRO;2;2;2;1;2;8,5;1;2;9;1;0;1;0;6;1;2;1;2;1;0;17,25;1;2;2;21;2;5;66,75
PROGRAMACION;70;8/08/2020;30/08/2020;1,57596E+12;URBANA;SANTA HELENA;2;2;2;1;2;8,5;2;1;9;2;2;2;2;20;1;2;1;2;2;0;20,25;2;2;2;25;2;5;87,75
PROGRAMACION;71;5/08/2020;30/08/2020;1,57593E+12;URBANA;VANEGAS-LOMITAS;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;2;2;1;2;2;0;22,75;2;2;2;25;2;5;82,25
PROGRAMACION;72;6/08/2020;30/08/2020;1,57591E+14;URBANA;VANEGAS;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;2;2;1;2;1;0;19,75;2;2;2;25;2;5;79,25
PROGRAMACION;73;5/08/2020;30/08/2020;1,57591E+14;URBANA;PINARES DE SAN LUIS;2;1;1;2;2;8,5;2;2;12;1;0;2;2;14;1;2;2;2;2;0;21,5;2;2;2;25;2;5;86
PROGRAMACION;74;5/08/2020;30/08/2020;1,57594E+12;URBANA;CHAPINERO;2;1;1;2;2;8,5;2;2;12;2;2;2;2;20;2;2;1;2;1;1;21,75;2;2;2;25;2;5;92,95
PROGRAMACION;75;5/08/2020;30/08/2020;1,57595E+12;URBANA;LAS LOMAS;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;83,5
PROGRAMACION;76;7/08/2020;30/08/2020;1,57594E+12;URBANA;VENECIA;2;2;2;2;2;10;2;2;12;2;0;2;2;17;2;2;2;2;2;1;26;2;2;2;25;2;5;95
PROGRAMACION;77;18/08/2020;30/08/2020;1,57595E+12;URBANA;SAN ANDRESITO;2;1;2;1;2;7,75;2;1;9;1;0;1;0;6;2;2;1;2;1;0;19,75;2;2;2;25;2;5;72,5
PROGRAMACION;78;18/08/2020;30/08/2020;1,57595E+12;URBANA;MAGDALENA;2;1;2;2;2;9,25;2;1;9;1;0;2;0;9;2;2;2;2;1;0;21;2;2;2;25;2;5;78,25
SEGUIMIENTO;79;19/08/2020;30/08/2020;1,57592E+12;URBANA;LA CANDELARIA;2;2;2;2;2;10;1;2;9;2;2;1;2;14;2;2;2;2;2;1;26;2;2;2;25;2;5;92
PROGRAMACION;80;20/08/2020;30/08/2020;1,57591E+14;URBANA;EL CORTES;2;1;2;1;2;7,75;2;2;12;2;0;1;0;9;1;2;1;2;1;0;17,25;1;2;2;21;2;5;72
PROGRAMACION;81;21/08/2020;30/08/2020;1,57595E+12;URBANA;ARRAYANES;2;2;2;2;2;10;2;2;12;2;0;1;0;9;1;2;2;2;1;0;18,5;2;2;2;25;2;5;79,5
PROGRAMACION;82;22/08/2020;30/08/2020;1,57591E+14;URBANA;SIMON BOLIVAR;2;2;2;2;2;10;2;2;12;2;0;1;1;13;1;2;2;2;1;0;18,5;1;2;2;21;2;5;79,5
PROGRAMACION;83;24/08/2020;30/08/2020;1,57591E+14;URBANA;SAN MARTIN;2;1;2;1;2;7,75;1;2;9;2;0;1;0;9;1;2;1;2;1;0;17,25;1;2;2;21;2;5;69
PROGRAMACION;84;22/08/2020;10/09/2020;1,57595E+12;URBANA;ARRAYANES;2;1;1;1;2;7;1;2;9;2;2;1;1;14,5;1;2;1;2;1;1;19,25;1;2;2;21;2;5;75,75
PROGRAMACION;85;25/08/2020;10/09/2020;1,57593E+12;URBANA;CENTRO;2;1;1;1;2;7;1;2;9;1;0;1;0;6;1;2;2;2;1;1;20,5;2;2;2;25;2;5;72,5
PROGRAMACION;86;27/08/2020;10/09/2020;1,57591E+14;URBANA;CHINCA;2;1;1;1;2;7;1;2;9;2;0;1;0;9;1;2;1;2;1;0;17,25;1;2;2;21;2;5;68,25
PROGRAMACION;87;18/09/2020;10/09/2020;1,57591E+14;URBANA;SAN ANDRESITO;2;2;1;2;2;9,25;2;2;12;2;0;2;2;17;2;2;1;2;2;0;22,75;2;2;2;25;2;5;91
PROGRAMACION;88;18/09/2020;30/09/2020;1,57594E+11;URBANA;VILLA DEL SOL;2;2;2;1;2;8,5;2;1;9;1;0;2;0;9;2;2;2;2;1;0;21;1;1;2;16,5;2;5;69
PROGRAMACION;89;16/09/2020;30/09/2020;1,57598E+12;URBANA;MAGDALENA;2;1;2;2;2;9,25;1;2;9;1;0;2;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;81,25
PROGRAMACION;90;23/11/2020;5/12/2020;1,57599E+13;URBANA;NO PRESENTA;2;1;1;1;2;7;1;1;6;2;0;1;2;14;1;2;1;2;1;0;17,25;1;2;1;17;2;5;66,25
PROGRAMACION;91;24/08/2020;24/10/2020;1,57595E+12;URBANA;SAN MARTIN;2;1;2;1;2;7,75;2;2;12;1;0;2;0;9;2;2;2;2;1;0;21;2;2;2;25;2;5;79,75
PROGRAMACION;92;25/08/2020;24/10/2020;1,57595E+12;URBANA;TERMINAL;2;1;2;2;2;9,25;1;2;9;1;0;2;0;9;1;2;2;2;1;0;17,25;2;2;2;25;2;5;74,5
PROGRAMACION;93;31/08/2020;24/10/2020;1,57592E+12;URBANA;CHAPINERO;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;1;2;1;2;2;0;20,5;2;2;2;25;2;5;80
PROGRAMACION;94;24/08/2020;24/10/2020;1,57593E+11;URBANA;CENTRO;2;1;2;2;2;9,25;2;2;12;1;0;2;0;9;2;2;2;2;1;0;21;2;2;2;25;2;5;81,25
PROGRAMACION;95;30/09/2020;24/10/2020;1,57596E+12;URBANA;SANTA ISABEL;2;2;2;2;2;8,5;2;2;12;1;0;1;0;6;2;2;2;2;1;0;21;1;2;2;21;2;5;73,5
SEGUIMIENTO;96;30/09/2020;24/10/2020;1,57595E+12;URBANA;PUENTE PESCA;2;1;1;1;0;7;1;1;6;2;0;1;0;9;1;2;1;2;1;0;17,25;1;1;2;16.5;2;5;60,75
PROGRAMACION;97;NO PRESENTA;24/10/2020;1,57592E+12;URBANA;ORIENTE;2;2;1;1;2;7,75;1;2;9;1;0;1;2;11;2;2;2;2;1;2;25;1;2;2;21;2;5;78,75
PROGRAMACION;98;15/09/2020;24/10/2020;1,57591E+14;URBANA;CENTRO;2;2;2;2;2;10;2;2;12;2;0;1;2;14;1;2;2;2;1;0;18,5;2;2;2;25;2;5;84,5
PROGRAMACION;99;9/09/2020;27/10/2020;1,57591E+14;URBANA;EL CARMEN;2;2;2;1;2;8,5;2;2;12;1;0;2;2;14;1;2;2;2;2;0;21,5;2;2;2;25;2;5;86
SEGUIMIENTO;100;15/01/1900;27/10/2020;1,57591E+14;URBANA;OLAYA HERRERA;2;2;2;2;2;10;1;2;9;2;0;2;1;12;1;2;1;2;2;0;20,25;2;2;2;25;2;5;81,25
PROGRAMACION;101;25/09/2020;27/10/2020;1,57591E+14;URBANA;VALDEZ TAVERA;2;2;2;1;2;8,5;2;1;9;2;0;2;0;12;1;2;0;2;2;0;19;2;2;2;25;2;5;78,5
PROGRAMACION;102;30/09/2020;27/10/2020;1,57594E+12;URBANA;SANTA INES;2;2;2;2;2;10;2;2;12;2;0;2;0;9;1;2;2;2;2;0;21,5;1;2;2;21;2;5;78,5
PROGRAMACION;103;27/08/2020;27/10/2020;1,57591E+14;URBANA;OLAYA HERRERA;2;1;2;1;2;7,75;1;2;9;2;0;1;1;13;1;2;1;2;0;0;14,25;1;2;2;21;2;5;70
PROGRAMACION;104;25/09/2020;27/10/2020;1,57597E+12;URBANA;20 DE JULIO;1;1;1;1;2;6;1;2;9;2;0;1;1;13;1;2;1;2;1;2;21,25;1;1;1;12.5;2;5;66,75
PROGRAMACION;105;9/09/2020;27/10/2020;1,57595E+12;URBANA;EL CARMEN;2;1;2;1;2;7,75;1;2;9;1;0;2;0;9;1;2;2;2;1;0;18,5;2;2;2;25;2;5;74,25
PROGRAMACION;106;NO PRESENTA;27/10/2020;1,57595E+12;URBANA;ALISOS;2;2;1;2;2;9,25;1;2;9;1;0;2;0;9;2;2;2;2;1;0;21;1;2;2;21;2;5;74,25
PROGRAMACION;107;8/09/2020;27/10/2020;1,57591E+14;URBANA;CENTRO;2;2;2;1;2;8,5;2;2;12;1;0;1;0;6;1;2;2;2;1;0;17,25;2;2;2;25;2;5;67,75
PROGRAMACION;108;26/08/2020;29/10/2020;1,57591E+14;URBANA;20 DE JULIO;2;2;1;1;2;7,75;2;2;12;2;0;1;0;9;1;2;1;2;2;0;2,25;2;2;2;25;2;5;79
PROGRAMACION;109;15/09/2020;29/10/2020;1,57591E+14;URBANA;LAGUITO;2;1;1;2;2;8,5;2;2;12;1;2;2;2;17;1;2;2;2;1;0;18,5;2;2;2;25;2;5;86
PROGRAMACION;110;10/10/2020;10/11/2020;1,57595E+12;URBANA;SAN CRISTOBAL;2;2;1;2;2;9,25;2;2;12;2;2;1;2;17;1;2;2;2;2;0;21,5;2;2;2;25;2;5;89,75
PROGRAMACION;111;13/10/2020;11/11/2020;1,57598E+12;URBANA;CENTRO;2;1;2;1;2;7,75;2;2;12;2;0;1;0;9;2;2;2;2;1;0;21;1;2;2;21;2;5;75,75
PROGRAMACION;112;14/10/2020;11/11/2020;1,57591E+14;URBANA;CENTRO;2;2;2;1;2;8,5;2;2;12;2;0;1;2;14;2;2;2;2;2;0;24;1;2;2;21;2;5;84,5
PROGRAMACION;113;16/10/2020;11/11/2020;15759900828422/3;URBANA;CHAPINERO;2;1;2;2;2;9,25;1;2;9;2;2;1;2;17;2;2;1;2;1;2;23,75;1;1;2;16.5;2;5;80,5
PROGRAMACION;114;16/10/2020;11/11/2020;NO PRESENTA;URBANA;CHAPINERO;2;2;2;2;2;10;2;2;12;2;0;1;1;13;1;2;2;2;1;1;20,5;2;2;2;25;2;5;85,5
PROGRAMACION;115;NO PRESENTA;13/11/2020;1,57599E+13;URBANA;ARRAYANES;2;2;2;1;2;8,5;2;2;12;2;2;1;2;17;2;2;2;2;2;0;24;2;2;2;25;2;5;91,5
SEGUIMIENTO;116;10/10/2020;13/11/2020;1,57597E+12;URBANA;CENTRO;2;1;2;2;2;9,25;2;2;12;2;2;1;2;17;1;2;2;2;1;2;22,5;1;2;2;21;2;5;86,75
PROGRAMACION;117;2/10/2020;13/11/2020;1,57595E+12;URBANA;SECTOR EL CRUCERO;2;1;2;2;2;9,25;1;2;9;2;0;2;1;14,5;1;2;2;2;1;0;18,5;2;2;2;25;2;5;81,25
PROGRAMACION;118;7/10/2020;13/11/2020;1,57598E+12;URBANA;ALISOS;2;2;2;2;2;10;1;2;9;2;0;1;1;11,5;2;2;2;2;1;0;21;1;2;1;17;2;5;73,5
PROGRAMACION;119;14/10/2020;13/11/2020;1,57595E+12;URBANA;VENECIA;2;1;2;2;2;9,25;2;1;9;1;0;1;0;6;1;2;2;0;1;0;10,5;1;2;2;21;2;5;60,75
PROGRAMACION;120;10/10/2020;13/11/2020;1,57595E+12;URBANA;CENTRO;1;2;1;2;2;8,25;1;2;9;1;0;2;0;9;2;2;2;2;1;0;21;1;2;1;17;2;5;69,25
PROGRAMACION;121;7/10/2020;13/11/2020;1,57591E+14;URBANA;CENTRO;2;2;2;1;2;8,5;1;2;9;2;2;1;2;17;1;2;1;2;1;0;17,25;1;2;2;21;2;5;77,75
PROGRAMACION;122;8/10/2020;13/11/2020;1,57594E+12;URBANA;20 DE JULIO;2;1;2;1;2;7,75;1;1;6;2;2;2;0;15;2;2;2;2;1;0;21;2;2;2;25;2;5;79,75
PROGRAMACION;123;8/10/2020;13/11/2020;1,57591E+14;URBANA;SANTA HELENA;2;1;1;2;2;8,5;2;1;9;1;0;2;0;9;2;2;2;2;2;1;26;2;2;2;25;2;5;82,5
PROGRAMACION;124;31/10/2020;4/12/2020;1,57595E+12;URBANA;VALDEZ TAVERA;2;2;2;1;2;8,5;2;2;12;1;0;1;0;6;1;2;2;2;1;0;17,25;2;2;2;25;2;5;73,75
PROGRAMACION;125;31/10/2020;4/12/2020;1,576E+11;URBANA;MAGDALENA;2;1;2;1;2;6,25;1;1;6;2;0;2;0;12;1;2;1;2;1;0;17,25;1;2;2;21;2;5;67,5
PROGRAMACION;126;28/10/2020;4/12/2020;1,57595E+12;URBANA;SIMON BOLIVAR;2;2;2;2;2;10;2;2;12;2;0;2;0;12;1;2;2;2;1;0;18,5;2;1;2;20.5;2;5;78
PROGRAMACION;127;28/10/2020;4/12/2020;1,57597E+12;URBANA;SIMON BOLIVAR;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;1;2;1;0;19,75;2;2;2;25;2;5;82,25
PROGRAMACION;128;22/10/2020;5/12/2020;1,57595E+12;URBANA;GUSTAVO GIMENEZ;2;2;2;1;2;8,5;1;2;9;1;0;2;1;11,5;2;2;2;2;1;0;21;1;2;1;17;2;5;72
PROGRAMACION;129;24/11/2020;13/12/2020;1,57591E+14;URBANA;LA FLORESTA;2;2;2;2;2;10;2;2;12;2;0;1;0;9;1;2;2;2;1;0;18,5;1;2;2;21;2;5;75,5
