motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;estado_salud;pract_higie_dota;capaci_mani_higie_alim3;pers_mani_aliment;condi_equi_ut_sup_beb_alco;preven_cont_cruz;condi_almac;almac_comerc;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;proced_bebi_alco;ley_obl_beb_alco;veri_product_beb_alco;p_cumplimiento
PROGRAMACION;63;21/10/2020;25/12/2020;1,57595E+12;CARRERA 13 N 14/112;CENTRO;2;2;2;2;10;0;2;0;7;2;2;2;19;2;2;1;2;2;0;32;2;2;14;82
PROGRAMACION;64;29/10/2020;25/12/2020;1,57591E+14;CARRERA 14 N 1B/23 SUR;UNIVERSITARIO;2;2;2;2;9;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;0;9;76
SOLICITUD DEL I;65;17/03/2020;25/12/2020;1,57597E+14;CALLE 8 BIS N 10/95;CENTRO;2;1;1;1;6;1;2;1;13;2;2;2;19;1;2;1;2;2;1;30;2;2;14;82
PROGRAMACION;66;31/03/2020;25/12/2020;1,57595E+12;CALLE 5 N 10/86;OLAYA HERRERA;2;2;2;2;10;1;2;1;13;2;2;2;19;2;2;2;2;2;1;36,5;2;2;14;92.5
PROGRAMACION;67;24/10/2020;25/12/2020;1,57591E+14;CARRERA 9 N 13/68;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;31,5;2;2;14;85
PROGRAMACION;68;5/10/2020;25/12/2020;1,57592E+12;CALLE 54 N 11D/24;CIUDAD VERDE;2;1;2;1;7;1;2;0;10,5;2;2;2;19;2;2;1;2;2;0;32;2;2;14;82.5
PROGRAMACION;69;19/10/2020;25/12/2020;1,57591E+14;CARRERA 12 N 18/10;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;85
PROGRAMACION;70;26/10/2020;25/12/2020;1,57594E+12;CARRERA 20 N 6/12;SIMON BOLIVAR;1;2;2;2;9;1;1;0;7;2;2;2;19;2;2;2;2;2;0;35;2;2;14;84
PROGRAMACION;71;26/10/2020;25/12/2020;1,57591E+14;CARRERA 14 N 14/32;CENTRO;2;2;2;2;10;2;1;2;15,5;2;2;2;19;2;2;1;2;2;2;35;2;2;14;93.5
PROGRAMACION;72;28/10/2020;25/12/2020;1,57595E+12;CARRERA 28 N 10/07;VALDEZ TAVERA;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;88.5
PROGRAMACION;73;28/10/2020;25/12/2020;1,57591E+14;CALLE 9 N 28/42;VALDEZ TAVERA;2;2;2;1;8;0;2;0;7;2;1;1;12.5;2;2;2;2;1;0;31,5;2;2;14;73
PROGRAMACION;74;22/10/2020;27/12/2020;1,576E+11;CARRERA 11 N 2 /19;SANTA CATALINA;2;2;2;1;8;1;2;0;10,5;2;2;1;15.5;2;2;1;2;1;0;28,5;2;2;14;76.5
PROGRAMACION;75;2/09/2020;27/12/2020;1,576E+11;CALLE 6 N 10A/73;OLAYA HERRERA;2;2;2;1;8;0;2;0;7;2;2;2;19;2;2;2;2;2;0;35;2;2;14;83
PROGRAMACION;76;17/10/2020;27/12/2020;1,57595E+12;DIAGONAL 59 N 11A/47;GUSTAVO GIMENEZ;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;2;2;1;0;31,5;2;2;14;83
PROGRAMACION;77;13/10/2020;27/12/2020;1,57595E+12;DIAGONAL 59 N 11BIS/15;EL DIAMANTE;2;1;1;2;6;0;2;0;7;2;2;2;19;2;1;2;2;2;1;33,5;2;2;14;79.5
PROGRAMACION;78;19/10/2020;27/12/2020;1,57595E+12;CARRERA 11 N 12/82;CENTRO;2;2;2;2;10;2;2;2;11;2;2;2;19;2;2;2;2;2;1;36,5;2;2;14;98.5
PROGRAMACION;79;20/10/2020;27/12/2020;1,57591E+14;CARRERA 9 N 14/14;SAN MARTIN;2;2;2;1;8;1;1;0;7;2;2;2;19;1;2;1;2;2;0;32,5;2;2;14;80.5
PROGRAMACION;80;19/10/2020;27/12/2020;NO PRESENTA;CARRERA 18 N 1/13;UNIVERSITARIO;2;2;1;1;70;1;1;0;7;2;1;2;18;2;2;0;2;1;0;25,5;2;2;14;71.5
PROGRAMACION;81;23/10/2020;27/12/2020;1,57591E+14;CARRERA 11 N 35/60;PRADERA;2;2;2;1;8;0;0;0;0;2;2;2;19;2;2;1;2;2;0;32,5;2;2;14;73.5
SOLICITUD DEL I;82;23/10/2020;27/12/2020;1,57591E+14;CARRERA 14 N 7/32;ROSARIO;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;2;2;1;0;31,5;2;2;14;83
PROGRAMACION;83;24/10/2020;27/12/2020;1,57595E+12;CALLE 16 N 10/30;CENTRO;2;1;1;2;8;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;86.5
PROGRAMACION;84;23/10/2020;27/12/2020;1,57594E+12;CARRERA 14 N 16/120;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;1;2;2;0;32;2;2;14;85.5
PROGRAMACION;85;23/10/2020;27/12/2020;1,57595E+12;CARRERA 11 N 16/20;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;1;2;2;0;32;2;2;14;85.5
PROGRAMACION;86;30/10/2020;27/12/2020;1,57597E+11;DIAGONAL 59 N 69/52;EL DIAMANTE;2;1;2;1;7;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;79
PROGRAMACION;87;30/10/2020;27/12/2020;1,57593E+12;CALLE 16 N 10/26;CENTRO;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;80
SOLICITUD DEL I;88;29/10/2020;27/12/2020;1,57591E+14;CARRERA 20 A N 7A/05;VALDEZ TAVERA;2;2;2;1;8;1;2;0;10,5;2;2;2;19;1;2;1;2;2;0;28,5;2;2;14;80
PROGRAMACION;89;19/10/2020;27/12/2020;1,57595E+12;CALLE 11A N 11/27;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;1;2;2;0;32,5;2;2;14;86
PROGRAMACION;90;16/10/2020;27/12/2020;NO PRESENTA;CARRERA 31 N 11B/111;LIBERTADOR;2;2;2;1;8;1;2;0;10,5;2;2;1;15.5;2;2;2;2;2;0;35;2;2;14;83
PROGRAMACION;91;22/10/2020;27/12/2020;1,57592E+12;CALLE 11A N 16/26;20 DE JULIO;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;80
PROGRAMACION;92;19/10/2020;27/12/2020;NO PRESENTA;CARRERA 11 N 3/86;LAS AMERICAS;2;2;2;2;10;1;2;2;15,5;2;2;2;19;2;2;0;2;1;0;25,5;2;2;14;84
PROGRAMACION;93;15/10/2020;27/12/2020;1,57594E+12;CALLE 11A N 16A/35;20 DE JULIO;2;2;1;1;7;1;2;0;10,5;2;1;1;14.5;1;2;2;2;1;0;28;2;2;14;74
PROGRAMACION;94;14/10/2020;27/12/2020;1,57591E+14;CARRERA 13 N 14/60;CENTRO;2;1;2;1;7;1;1;0;7;2;2;2;19;2;2;2;2;2;0;35;2;2;14;82
PROGRAMACION;95;23/10/2020;27/12/2020;1,57597E+12;CARRERA 11 N 3/45;SANTA CATALINA;2;2;2;2;10;2;2;2;19;2;2;2;19;2;2;2;2;1;1;33;2;2;14;95
PROGRAMACION;96;29/10/2020;27/12/2020;1,57591E+14;CARRERA 10 N 12/88;CENTRO;2;2;2;1;8;2;2;2;19;2;2;2;19;2;2;2;2;2;0;35;2;2;14;95
SOLICITUD DEL I;97;29/10/2020;27/12/2020;1,57591E+14;CARRERA 18 N 7/24;ROSARIO;2;1;2;2;9;1;2;0;10,5;2;2;2;19;2;2;2;2;1;0;31,5;2;2;14;84
PROGRAMACION;98;29/10/2020;27/12/2020;1,57591E+14;CARRERA 20 N 7B/42;VALDEZ TAVERA;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;2;2;1;0;31,5;2;2;14;83
PROGRAMACION;99;30/10/2020;27/12/2020;1,57595E+12;CARRERA 14 N 5Z SUR/29;UNIVERSITARIO;2;1;2;1;7;1;2;0;10,5;1;2;2;16;2;2;1;2;2;0;32;2;2;14;79.5
PROGRAMACION;100;7/10/2020;27/12/2020;1,57595E+12;CALLE 54 N 10/84;CIUDAD VERDE;2;1;2;2;9;2;2;1;16,5;2;2;1;15.5;2;2;1;2;1;0;28,5;2;2;14;83.5
PROGRAMACION;101;21/10/2020;27/12/2020;1,57591E+14;CALLE 14 N 13/64;CENTRO;2;1;2;2;9;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;87.5
PROGRAMACION;102;30/10/2020;27/12/2020;1,57595E+12;CARRERA 11 N 3/62;SANTA CATALINA;2;2;2;1;8;2;2;2;19;2;2;2;19;2;2;2;2;1;1;33;2;2;14;93
SOLICITUD DEL I;103;22/10/2020;27/12/2020;1,57592E+12;CARRERA 13 N 1/18 SUR;UNIVERSITARIO;2;1;1;1;6;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;84.5
PROGRAMACION;104;24/10/2020;27/12/2020;NO PRESENTA;CARRERA 11 N 12/98;CENTRO;2;1;2;2;9;2;2;2;19;2;2;2;19;2;2;2;2;2;0;35;2;2;14;96
PROGRAMACION;105;20/10/2020;27/12/2020;1,57591E+14;CARRERA 17 N 6/16;ROSARIO;2;2;2;1;8;1;2;0;10,5;2;2;2;19;1;2;2;2;2;0;31;2;2;14;82.5
PROGRAMACION;106;23/10/2020;27/12/2020;1,57592E+12;CARRERA 11 N 7A/2B;OLAYA HERRERA;2;2;2;1;8;2;1;0;10,5;2;2;1;15.5;2;2;1;2;1;0;24;2;2;14;77
SOLICITUD OFI;107;5/10/2020;27/12/2020;1,57591E+14;CARRERA 11 N 7/35;OLAYA HERRERA;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;88.5
SOLICITUD OFI;108;8/10/2020;27/12/2020;1,57595E+12;CALLE 14 N 10/31;CENTRO;2;2;2;2;10;2;2;0;14;2;2;2;19;2;2;2;2;2;0;35;2;2;14;92
PROGRAMACION;109;5/10/2020;27/12/2020;7,67595E+12;CARRERA 12 N 57/36;GUSTAVO GIMENEZ;2;2;2;2;10;2;1;1;13;1;2;2;16;2;2;2;2;1;0;31,5;2;2;14;84.5
PROGRAMACION;110;14/10/2020;27/12/2020;1,57592E+12;DIAGONAL 59 N 11 B/24;GUSTAVO GIMENEZ;2;2;2;1;8;0;2;0;7;2;2;2;19;2;2;1;2;2;0;32;2;2;14;80
PROGRAMACION;111;9/10/2020;27/12/2020;1,57595E+12;CARRERA 11 N 2A/68;SANTA CATALINA;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;2;2;1;0;31,5;2;2;14;83
PROGRAMACION;112;15/10/2020;27/12/2020;1,57595E+12;CARRERA 11 N 57/71;GUSTAVO GIMENEZ;2;2;2;2;10;2;2;0;14;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;85.5
PROGRAMACION;113;15/10/2020;27/12/2020;1,57591E+14;CARRERA 13 N 13/50;CENTRO;2;1;1;1;6;1;2;1;13;2;2;2;19;2;2;1;2;2;0;32;2;2;14;84
PROGRAMACION;114;16/10/2020;27/12/2020;1,57599E+13;CARRERA 11 N 5/59;OLAYA HERRERA;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;1;0;31,5;2;2;14;85
PROGRAMACION;115;16/12/2020;27/12/2020;NO PRESENTA;KM 4 VIA A IZA;FLORESTA;2;2;2;2;10;2;2;1;16,5;2;2;2;19;0;2;2;2;1;0;31,5;2;2;14;77
PROGRAMACION;116;19/12/2020;27/12/2020;1,57592E+12;DG 14 N 24 53;NO PRESENTA;2;2;2;1;8;0;1;0;10,5;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;76
PROGRAMACION;117;17/12/2020;27/12/2020;1,57594E+12;CL 9 N 9 68;SANTA ANA;2;1;2;1;7;1;1;0;7;2;2;2;14;1;2;2;2;1;0;28;2;2;14;70
PROGRAMACION;118;16/12/2020;27/12/2020;1,57591E+14;CARRERA 13 N 13 52;CENTRO;2;2;2;2;10;0;1;0;3,5;2;2;2;19;2;2;1;2;2;0;32;2;2;14;78,5
PROGRAMACION;119;16/12/2020;30/12/2020;1,57595E+12;CALLE 16 N 10 30;CENTRO;2;1;1;1;6;0;1;0;3,5;2;1;1;12,5;2;2;2;2;1;0;32;2;2;14;68
PROGRAMACION;120;16/12/2020;30/12/2020;1,57594E+12;CARRERA 17 N 19 29;SAN MARTIN;2;2;2;2;10;2;2;0;14;2;2;1;15,5;2;2;2;2;2;0;35;2;2;14;88,5
PROGRAMACION;121;16/12/2020;30/12/2020;1,57591E+14;CARRERA 11 N 26 A 09;RECREO;2;2;2;2;10;0;2;0;7;2;2;2;19;2;2;2;2;2;2;28;2;2;14;88
PROGRAMACION;122;15/12/2020;30/12/2020;1,57592E+12;CALLE 6 SUR N 10 14;MANANTIAL;2;2;2;1;8;1;1;0;7;1;1;1;9,5;1;2;2;2;1;0;28;2;2;14;66,5
PROGRAMACION;123;14/12/2020;30/12/2020;1,57593E+12;CARRERA 12 N 4 15 SUR;MANANTIAL;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;88,5
PROGRAMACION;124;11/12/2020;30/12/2020;1,57595E+12;CALLE 7 B N 18 36;ROSALES;2;2;2;1;8;1;1;0;7;1;2;2;16,5;1;2;0;2;1;0;22;2;2;14;67,5
PROGRAMACION;125;10/12/2020;30/12/2020;1,57591E+14;CARRERA 12 N 14 30;CENTRO;2;2;2;1;8;0;1;0;3,5;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;76
PROGRAMACION;126;14/12/2020;30/12/2020;1,57597E+11;DG 14 N 25 A 93;SIATAME;2;2;2;2;10;1;2;1;13;2;2;2;19;2;2;2;2;2;0;35;2;2;14;91
PROGRAMACION;127;11/12/2020;30/12/2020;1,57591E+14;CARRERA 12 N 14 A 54;CENTRO;2;2;2;2;10;0;1;0;3,5;2;2;2;19;1;2;2;2;2;0;31,5;2;2;14;78
PROGRAMACION;128;18/09/2020;;1,57591E+14;CALLE 9 N 21 44;PRADO CENTRO;2;2;2;1;8;1;1;0;7;2;1;2;13;1;2;2;2;1;0;28;2;2;14;70
